PlotID,PlotNo,FarmName,Long,Lat,VegClass,Date,DD,MM,YYYY
KAI Return3,Return3,KAI,174.4590767,-36.39469662,F_N_Rem_Contin,12/11/2018,12,11,2018
KAI Return4,Return4,KAI,174.4580648,-36.39359037,F_N_Rem_Contin,12/12/2018,12,12,2018
KAI Return5,Return5,KAI,174.4583444,-36.39308132,F_N_Rem_Contin,12/12/2018,12,12,2018
KAI Return6,Return6,KAI,174.4585081,-36.39489628,F_N_Rem_Contin,12/12/2018,12,12,2018
KAI Return7,Return7,KAI,174.4600621,-36.39438405,F_N_Rem_Contin,13/12/2018,13,12,2018
KAI Return8,Return8,KAI,174.4612601,-36.395187,F_N_Rem_Contin,13/12/2018,13,12,2018
KAI RIVERS 1,RIVERS 1,KAI,174.461056,-36.397527,F_N_Rem_Contin,25/06/2018,25,6,2018
KAI RIVERS 2,RIVERS 2,KAI,174.461108,-36.397159,F_N_Rem_Contin,25/06/2018,25,6,2018
KAI RIVERS 3,RIVERS 3,KAI,174.460534,-36.397174,F_N_Rem_Contin,27/06/2018,27,6,2018
KAI RIVERS 4,RIVERS 4,KAI,174.460697,-36.396809,F_N_Rem_Contin,27/06/2018,27,6,2018
KAI RIVERS 5,RIVERS 5,KAI,174.46072,-36.397759,F_N_Rem_Contin,28/06/2018,28,6,2018
KAI ROAD 3,ROAD 3,KAI,174.451211,-36.405249,F_N_Reg_Contin,26/06/2018,26,6,2018
KAI ROAD 4,ROAD 4,KAI,174.450981,-36.40573,F_N_Reg_Contin,26/06/2018,26,6,2018
KAI ROAD 5,ROAD 5,KAI,174.451578,-36.405552,F_N_Reg_Contin,26/06/2018,26,6,2018
KAI ROAD1,ROAD1,KAI,174.451184,-36.404375,F_N_Reg_Contin,25/06/2018,25,6,2018
KAI ROAD2,ROAD2,KAI,174.451938,-36.40462,F_N_Reg_Contin,25/06/2018,25,6,2018
KAI TOP 1,TOP 1,KAI,174.462622,-36.393609,F_N_Rem_Contin,28/06/2018,28,6,2018
KAI TOP 10,TOP 10,KAI,174.463443,-36.390959,F_N_Rem_Contin,3/07/2018,3,7,2018
KAI TOP 2,TOP 2,KAI,174.463161,-36.393256,F_N_Rem_Contin,28/06/2018,28,6,2018
KAI TOP 3,TOP 3,KAI,174.464041,-36.392738,F_N_Rem_Contin,29/06/2018,29,6,2018
